TREE NAME,Urban Square,Linear Park,Neighbourhood Park,Community Park,Destination Park
Hedge maple,True,True,True,True,
Amur maple,True,True,True,True,
Miyabei maple,,True,True,,True
Black maple,,True,True,,True
Striped maple,,,,,
Norway maple,True,True,True,True,
Red maple,,,,,
Silver maple,,,,,
Sugar maple,,,True,,True
Norwegian sunset Maple,True,True,True,True,True
Freeman maple,,True,True,True,True
Yellow buckeye,,,,,
Ohio buckeye,,,,,
Red horsechestnut,,,,,
Speckled alder,,,,,
Serviceberry,,True,True,,True
Allegheny serviceberry,,True,True,,True
Pawpaw,,,,,
Yellow birch,,,,,
Paper birch,,,,,
Gray birch,,,,,
European hornbeam,True,True,True,True,True
Blue-beech,True,True,True,,True
Bitternut hickory,,,,,
Shagbark hickory,,,,,
Northern catalpa,,,,,
Common hackberry,True,True,True,True,True
Katsura,,True,True,,True
Redbud,True,True,True,,True
Yellow-wood,,,True,True,True
Pagoda dogwood,,,True,,True
Flowering dogwood,,,True,,True
Gray dogwood,,,True,,
Turkish hazel,True,True,True,True,True
Winter King hawthorn,,True,True,,
Hardy rubber tree,True,True,True,True,True
American beech,,,,,
European beech,,,,,
Ginkgo,True,True,True,True,True
Honey locust,True,True,True,True,True
Kentucky coffeetree,True,True,True,True,True
Carolina silverbell,,,True,,True
Mountain silverbell,,,True,,True
Butternut,,,,,
Black walnut,,,,,
Goldenraintree,True,True,True,True,True
Sweet gum,,True,True,,True
Tulip-tree,True,True,True,,True
Amur maackia,True,True,True,True,
Blackgum (Black Tupelo),True,True,True,,True
Ironwood,True,True,True,True,True
Amur corktree,True,True,True,True,True
American sycamore,,,,,
London planetree,True,True,True,True,
Big-toothed aspen,,,,,
Trembling aspen,,,,,
Black cherry,,,,,
White oak,,,True,,True
Swamp white oak,True,True,True,True,True
Scarlet oak,,,True,,True
Northern pin oak,,,True,,True
Shingle oak,,True,True,,True
Bur oak,True,True,True,True,True
Chinkapin oak,,True,True,,True
English oak,,True,True,,True
Red oak,,True,True,,True
Shumard oak,,True,True,,True
Black locust,True,,,True,
Black willow,,,,,
Sassafras,,,,,
Japanese pagoda,True,True,True,True,
Ivory silk Lilac,True,True,True,True,
Basswood Tilia,,,,,
Redmond linden,True,True,True,,True
Littleleaf linden,True,True,True,,True
Silver linden,,True,True,,True
White elm,True,True,True,True,True
Princeton elm,True,True,True,True,True
Valley Forge elm,True,True,True,True,True
Accolade elm,True,True,True,True,True
Frontier elm,True,True,True,True,True
Homestead elm,True,True,True,True,True
Pioneer elm,True,True,True,True,True
Japanese zelkova,True,True,True,True,True
Dawn redwood,,,,,
Baldcypress TaTrueodium,,True,True,,True
Balsam fir,,True,True,,
White fir,,,,,
Korean fir,,,,,
Lebanon cedar,,,,,
Falsecypress,,,,,
Eastern redcedar,,,,,
European larch,,True,True,,
Tamarack,,,,,
Norway spruce,,,,,
White spruce,,,,,
Serbian spruce,,,,,
Blue spruce,,True,True,,
Austrian pine,,True,True,,
Red pine,,,,,
White pine,,,,,
Douglas-fir,,,,,
Eastern white cedar,,,,,
Eastern hemlock,,,,,
